"쇼핑","shopping"
"가격. 이 휴대전화 가격이 얼마예요?","price. This cellphone price how much?"
"값. 물건 값이 많이 올랐어요.","cost. Goods cost a lot rose."
"거스름돈. 물건을 산 후에 거스름돈 받는 것을 잊어버렸어요.","change. Items buy after change receiving forgot."
"계산. 여기 얼마예요? 계산해 주세요.","calculation. Over here how much? Calculation give me pls."
"고르다. 이 물건들 중에서 하나만 고르세요.","to choose. These items between from 1 only choose."
"교환. 이 신발을 조금 더 큰 것으로 교환해 주세요.","exchange. These shoes little more big one with exchange pls for me."
"다양하다. 요즘 휴대전화는 디자인이 정말 다양해요.","to be diverse, to be various. These days cellphone design very diverse."
"모자라다. 동전이 모자라는데, 좀 빌려 주시겠어요?","to be insufficient, to be lacking. Coin insufficient so, little lend pls?"
"무료. 이것은 무료로 드리는 거니까 그냥 가져 가세요.","free charge. This thing as for free giving thing cuz just take and go."
"바꾸다. 이노란색 원피스를 빨간색으로 바꿀 수 있어요?","to change. this yellow dress red with change able to?"
"바뀌다. 아까 가게에서 산 옷이 친구의 것과 바뀌었어요.","to get changed. Earlier store at bought clothes friend's thing with got changed."
"백화점. 어머니 생신에 드릴 선물을 사러 백화점에 갔어요.","a department store. Mother birthday for giving present buy in order to department store went."
"상품. 백화점에는 다양한 상품이 많이 있어요.","merchandise, goods. Department store at as for, variety products many have."
"선택. 모두 마음에 들어서 하나만 선택하기가 어렵네요.","choice selection. All heart lifts so 1 only choosing difficult."
"세일. 세일 기간에 사면 좋은 물건을 싸게 살 수 있어요.","sale. Sale period buy if good item cheaply buy able to."
"쇼핑.백화점 세일 기간에는 쇼핑하는 사람이 많아서 복잡합니다.","shopping. Department store sale period as for shopping people a lot so crowded."
"영수증. 물건을 교환하거나 환불할 때는 영수증을 꼭 가지고고 오세요.","receipt. Items exchange or refund during receipt surely bring."
"점원. 안나 씨는 서점에서 점원으로 일한 적이 있어요","clerk. Anna as for, store at clerk as, has worked."
"줄. 여러분, 줄을 서서 기다려 주세요.","line. Everyone line stand and then wait pls."
"판매. 이 상품은 이번 주까지만 싸게 판매합니다.","sale, selling. These products this week til only discounted selling."
"팔다. 오늘은 손님이 많아서 물건을 많이 팔았어요.","to sell. Today as for, customer a lot so items a lot sold."
"팔리다. 요즘 가장 잘 팔리는 물건이 뭐예요?","to be sold. These days most well selling item what is?"
"포장. 선물 할 거니까 예쁘게 포장해 주세요.","wrapping, packing. Present give will cuz prettily wrap pls for me."
