"방향","directions"
"곧장. 사거리를 지나서 곧장 걸어오면 약국이 보입니다다.","straight directly right away. Intersection pass and straight walk if pharmacy you'll see."
"곧장. 회사가 끝나자마자 곧장 집으로 갔어요.","straight, directly, right away. Company ends right after directly home towards went."
"똑바로. 여기에서 똑바로 가 주세요.","straight. There from straight go pls for me."
"방향. 어느 방향이 동쪽이에요?","direction. Which direction is east?"
"북쪽. 한강의 북쪽을 강북이라고 부릅니다.","north. Han river's north part, gangbuk is called."
"오른쪽으로 가시면 엘리베이터가 있습니다.","right. Right towards go if elevator is."
"올라가다. 2층에 가려면 계단으로 올라가세요.","to go up. Second floor go if stairs with go up pls."
"왼쪽. 왼쪽으로 돌아가면 화장실이 나옵니다.","left. Left towards return if washroom come out."
"이리. 이리 가까이 앉으세요.","here. Here close sit."
"이쪽. 이쪽으로 가시면 병원이 나와요.","this way. This way towards go if hospital appear."
"저쪽. 우리 저쪽으로 가서 택시를 탑시다.","the other side, that way. Us that way towards go and taxi take let's."
"쪽. 사람들이 소리나는 쪽을 쳐다봐요","direction of. People sound direction looking."
"쭉. 저쪽으로 쭉 가시면 우체국이 보일거예요.","straight. That way straight go if post office will see."
"행. 부산행 열차가 곧 출발하겠습니다.","bound for. Busan bound for train shortly depart will."
