"탈것","vehicles"
"갈아타다. 버스를 타고 가다가 지하철로 갈아타야 해요.","transfer. Bus ride go while subway transfer have to do."
"걸리다. 학교에서 집까지 버스로 30분 정도 걸려요.","to take. School at house til bus 30 minutes bus by 30 minutes approximately"
"고속도로. 서울에서 부산까지 고속도로로 가면 4 시간쯤 걸려요","expressway, highway. Seoul from busan til highway using go if 4 hours around takes."
"교통. 서울은 교통이 좀 복잡해요.","traffic. Seoul traffic little crowded."
"기차. 서울역에서 기차를 타고 부산에 갔어요.","train. Seoul station from train take and busan to went."
"내리다. 버스에서 내려서 10분 정도 걸어오세요.","to get off, to take off. Bus from down go 10 minutes almost"
"노약자석. 젊은 사람들은 노약자석에 앉으면 안 돼요.","seats reserved for the elderly and the weak. Young people seats sit not allowed."
"놓치다. 공항에 늦게 도착해서 비행기를 놓쳤어요.","to miss. Airport late arrived so flight missed."
"느리다. 기차는 비행기보다 느려요.","to be slow. Train as for airplane compared to slow."
"다음. 다음 역은 어디예요?","next. Next station where is?"
"돌아가다. 집에 돌아갈 때는 택시를 타려고 해요.","to go back, to go around. House return during taxi ride plan."
"막히다. 길이 막혀서 회사에 늦었어요.","to be blocked. Street blocked so company to late was."
"멈추다. 차가 멈춘 다음에 내리세요.","stop. Car stop next get off."
"배. 한강에 가서 배를 탈까요?","boat, ship. River to go and then boat ride?"
"버스. 버스보다 지하철이 더 빨라요?","bus. Bus compared to subway more fast."
"복잡하다. 명동은 항상 사람들도 복잡해요.","to be crowded, to be complicated. Myeongdeong always people with crowded."
"불편하다. 버스 의자가 너무 작아서 앉기에 불편해요.","to be inconvenient, to be uncomfortable. Bus chair very small so sitting uncomfortable."
"비행기. 비행기를 타러 공항에 가요.","airplane. Plane ride in order to airport go."
"빠르다. 비행기가 기차보다 빨라서 더 편해요.","to be fast. Plane train more than fast so more comfortable."
"사고. 교통 사고가 난 것 같아요. 길이 막히네요.","accident. Traffic accident happened think. Road stuck."
"서다. 갑자기 버스가 서서 놀랐어요.","to come to a stop. Suddenly bus stopped so surprised."
"세우다. 저기 횡단 보도를 지나서 세워 주세요.","stop. Over there crosswalk pass and stop pls."
"신호. 운전할 때 교통 신호를 잘 지키세요.","signal. Driving during. Traffic signal well follow."
"요금. 택시 요금이 얼마 나왔어요?","fare, charge. Taxi fair how much came out?"
"운전. 저는 자동차를 운전한 지 3년 됐어요.","driving. I car driving since 3 years became."
"위험하다. 비가 오는 날에는 빨리 운전하면 위험해요.","rain coming day fast driving if dangerous."
"이용. 교통이 복잡한 날에는 대중교통을 이용합시다.","use. Traffic crowded day public transportation use let's"
"자가용. 저는 자가용을 타고 회사에 갑니다.","car, private car. I private car ride and company to go."
"자동차. 길이 좁아서 자동차로 갈 수 없어요.","automobile. Road narrow car by go unable to."
"자전거. 저는 어렸을 때 자전거를 타고 학교에 다녔어요","bicycle. I young was when bicycle ride and school commuted."
"잡다.출근 시간에는 택시를 잡기가 너무 힘들어요.","catch, hold. Going to work time taxi catching very hard."
"잡다. 버스를 타면 손잡이를 꼭 잡으세요.","catch, hold. Bus ride if handle for sure hold."
"좌석. 버스에 빈 좌석이 없어서 서서 갔어요.","seat. Bus on empty seat wasn't so stood and went."
"주차. 주차장에 차를 주차했어요.","parking. Parking lot car parked."
"지하철. 길이 복잡한 시간에는 지하철을 타세요.","subway. Road jammed time, subway take."
"직행. 이 비행기는 서울에서 뉴욕까지 직행입니다.","non stop, going straight. This plane seoul from new york til nonstop is."
"차. 차가 고장 나서 늦었어요.","vehicle, car. Car broke was late."
"차비","차를 타기 전에 미리 차비를 준비해 두세요. = carfare, charges. Vehicle riding before in advance fare prepare put/leave."
"천천히. 뛰지 말고 천천히 걷자.","slowly. Run dont, slowly walk."
"타다. 지하철을 타고 갈까요?","take, ride, get on. Subway ride and go shall we?"
"택시. 서울에서는 어디서든지 택스를 잡을 수 있어요.","taxi. Seoul in anywhere from taxi catch able to."
"편도 서울에서 부산까지 비행기 편도 요금이 얼마입니까?","One way. Seoul from busan til plane one way fare how much?"
"편리하다. 출퇴근하기에는 지하철이 편리해요.","to be convenient. Commuting during subway convenient."
"한산하다. 날이 추우니까 거리가 한산해요.","not crowded. Day cold cuz street not crowded."
"항공. 여기에서 오사카까지 가는 항공 편이 있어요?","flight, airline. Here from osaka til going flight is?"
"호선. 지하철 4호선은 파란색이에요.","line. Subway line 4 is blue."
