"자연환경","natural environment"
"가지. 나뭇가지에서 잎이 모두 떨어졌어요.","branch. Tree branch from leaf always fall."
"강. 서울에는 있는 큰 강의 이름은 한강이에요.","river. Seoul in big river, name han river is."
"깊다. 한강은 깊어서 수영하기에 위험합니다.","deep. Han river deep cuz swimming dangerous"
"낙엽. 가을에 낙엽을 밟으며 산책하는 것이 참 좋아요.","fallen leaves. Fall fallen leaves step and/while strolling very good."
"날다. 새들이 하늘을 날고 있어요.","fly. Birds sky flying."
"바다. 겨울에는 바다에서 수영할 수 없어요.","sea. winter sea at swim unable to."
"자연. 나무, 꽃, 바다 등 자연을 보호해야 합니다.","nature. trees, flowers, seas, etc nature protect have to."
"하늘. 하늘에 구름이 없어서 아주 맑네요.","sky. Sky clouds aren't so very clear."
"해. 오늘은 해가 몇시에 떴어요?.","sun, year. Today sun which time rose."
"해. 지난해보다 올해 겨울에 눈이 더 많이 왔어요.","sun, year. Last year than, this year winter snow more a lot came."
"호수. 호수에 오리가 있어요.","lake. Lake in duck is"
"환경. 주변 환경을 깨끗이 정리하세요.","surrounding environment cleanly organize."
