"전기 / 전자 제품","electric / electronic appliances"
"가습기. 방이 너무 건조하니까 가습기를 켭시다.","humidifier. Room very dry so humidifier on let's."
"가전제품. 냉장고나 세탁기, 텔레비전 같은 가전제품을 사야 해요.","electric home appliances. Fridge or washing machine, t.v, like electric appliances buy have to."
"고장. 텔레비전이 고장이 나서 안 나와요.","not working, out of order. Television out of order grew and does not emerge."
"고치다. 고장 난 시계를 고쳤어요.","fix. Broken watch fixed."
"냉장고. 냉장고에 시원한 맥주가 있어요.","refrigerator. Fridge in cool beer exists."
"노트북. 대학교 입학 선물로 노트북을 사 주세요.","laptop. University admission present notebook buy."
"다리미. 옷을 드리미로 잘 다려 주세요.","iron. Clothes iron well iron please for me."
"드라이어. 머리를 감은 후에 드라이어로 말려요.","hair dryer. Hair wash after, dryer with dry."
"라디오. 운전할 때 라디오를 들으면 지루하지 않아요.","radio. Driving when, radio listen if, bored dont get."
"사용하다. 제가 이 컴퓨터를 좀 사용해도 될까요?","use. I this computer little use may i?"
"선풍기. 여름에는 더워서 선풍기가 꼭 필요해요.","electric fan. Summer in as for, hot cuz fan surely need."
"신제품. 신제품을 좀 보여 주세요.","a new product. New product show please."
"에어컨. 더우니까 에어컨을 좀 켭시다.","air conditioner. Hot cuz a.c on let's."
"전기. 전기 주전자는 물을 빨리 끓일 수 있어서 좋아요.","electricity, electric. An electric kettle is good because it can boil water quickly."
"전자. 전자사전은 사용하기가 아주 편리합니다.","electronic. Electronic dictionary using very convenient."
"전화기. 전화기에서 벨 소리가 울렸습니다.","phone. Phone at bell noise rang."
"카세트. 음악을 듣고 싶어서 카세트를 틀었습니다.","cassete. music listen want to so cassette turned/played."
"텔레비전. 하루 종일 텔레비전만 봤어요.","tv. all day long tv only watched."
