"대중매체","mass media"
"광고. 인터넷 광고를 보고 옷을 샀습니다","advertisement. Internet advertisement saw and clothes bought."
"뉴스. 저는 보통 저녁 9시에 텔레비전 뉴스를 봅니다.","news. I usually evening 9 o'clock television news watch"
"드라마. 요즘 재미있는 드라마가 뭐예요?","drama. these days interesting drama what?"
"방송. 지금 텔레비전에서 축구 경기를 방송하고 있습니다","broadcasting now television soccer game broadcasting."
"신문. 리에 씨는 아침마다 신문을 읽습니다.","newspaper. 리에 morning every newspaper reads."
"이메일. 저는 고향에 계신 부모님과 이메일로 연락을 합니다.","email. I hometown residing parents with email talk do."
"인터넷. 왕위 씨는 인터넷으로 중국의 뉴스를 봅니다.","internet. Wangwi, internet with china's news watches."
"잡지. 이 옷을 잡지에서 보고 샀습니다.","magazine. = these clothes magazine saw and bought."
"정보. 저는 인터넷으로 한국의 정보를 많이 찾았어요.","information. i internet using korea's information a lot found"
"컴퓨터. 컴퓨터로 이메일을 보내고 싶은데 어떻게 해야 돼요?","computer. Computer with email send want to but how do must?"
"홈페이지. 저도 홈페이지를 만들고 싶어요.","homepage. I also homepage make want to."
"문화","culture"
