"전통문화","traditional culture"
"도자기. 지난번에 소풍을 가서 도자기를 만들었습니다.","Ceramics. The other day picnic went and pottery made."
"문화. 한국의 문화에 대해서 공부하고 싶어요.","culture. korea's culture about study want to."
"복. 새해 복 많이 받으세요.","good fortune. New year good fortune a lot receive."
"설날. 한국 사람들은 설날 아침에 떡국을 먹습니다.","lunar new year's day. Korean people lunar new year morning rice cake eat."
"세배. 설날 아침에 아이들은 어른들께 세배를 합니다.","new year's bow. Lunar new year day morning children elders to bow do."
"아리랑. 외국 사람들이 가장 많이 아는 한국 노래는 아리랑입니다.","arirang (korean traditional folk song). Foreign people best many known korean songs, folk are."
"왕. 박물관에 가면 옛날 왕들의 물건을 볼 수 있습니다","king. Museum go if long ago kings' stuff see able to."
"윷놀이. 새해에는 친척들이 모여서 윷놀이를 하면서 놀아요.","yut playing (traditional new year game) new year, relatives gather and yut do while playing."
"전통. 한국의 전통문화를 배우고 싶어서 한국에 왔습니다.","tradition. Korea's traditional culture learn wanted to so korea came."
"차례. 추석과 설날에는 가족들이 모두 모여 차례를 지냅니다.","ancestor memorial service. chuseok and new year families always gather ancestor memorial rites hold/perform."
"추석. 추석은 음력 8 월 15일이에요","korean thanksgiving. Thanksgiving lunar 8 month 15 day is."
"축제. 한국의 대학교들은 보통 5월에 축제를 합니다.","festival. korea's universities usually may festival do."
"탈. 탈을 쓰고 추는 춤을 탈춤이라고 합니다.","mask. Mask wear and dance that dance mask dance is called/said."
"태권도. 태권도는 외국에서도 인기가 많습니다","taekwondo. Taekwondo foreign country at also popularity a lot."
"판소리. 어제 판소리 공연을 봤어요.","pansori (traditional korean narrative song). Yesterday song performance saw."
"풍습. 나라마다 문화와 풍습이 달라요","custom. country ever culture and custom different."
