"외모","appearance"
"길다. 저기 머리가 긴 분이 누구세요?","to belong. That over there, person who has longer hair who is?"
"날씬하다. 요시코 씨는 키가 크고 날씬해요.","slim, thin. Yoko height tall and slim."
"네모. 이 사진에서 얼굴이 네모난 사람이 제 동생이에요.","square. This picture in face squared person my younger sibling is."
"다이어트. 건강은 위해서 다이어트를 하려고 해요.","diet. Health for the sake of diet do plan/decided to."
"닮다. 저는 아버지보다 어머니를 더 많이 닮았어요.","to resemble. I father compared to mother more a lot resemble."
"동그랗다. 홍하 씨는 얼굴이 동그래요.","to be round. Hong ha face round."
"똑같다. 저는 제 동생하고 키가 똑같아요.","to be the same. I as for, my younger sibling with height same."
"뚱뚱하다. 준이치 씨는 옛날에는 뚱뚱했는데 지금은 날씬해졌어요.","to be fat, overweight. Jun lee jee long ago as for fat was but now slim became."
"마르타. 그 사람은 너무 말라서 아파 보여요.","to be gaunt, to be skinny. That person too skinny so sick look."
"모습. 결혼식 때 신랑, 신부의 모습이 정말 행복해 보였어요.","wedding during groom, bride's appearance very happy looked."
"모양. 어떤 머리 모양을 좋아하세요?","shape, style. What kind of hair style like?"
"목소리. 왕핑 씨는 목소리가 좋아요.","voice. Wang ping as for voice good."
"비슷하다. 오늘 커피숍에서 형하고 얼굴이 비슷한 사람을 봤어요.","to be similar. Today coffee shop at brother with face similar person saw."
"살. 요즘 운동을 안 해서 살이 많이 쪘어요.","flesh, fat. These day exercise don't do so fat a lot gained."
"생기다. 왕위 씨는 어떻게 생긴 사람을 좋아하세요?","to look like. Wang wi as for how looking person like?"
"갑자기 급한 일이 생겨서 약속을 취소했어요.","to happen. Suddenly urgent matter happened so appointment cancelled."
"예쁘다. 수지 씨는 웃는 모습이 예뻐요.","to be pretty. Soo ji as for laughing appearance/look pretty."
"작다. 저는 코와 입이 작아요.","To be small. I as for noise and mouth small."
"잘생기다. 요시코 씨의 남자 친구는 정말 잘생겼어요.","to be handsome, good looking. Yoshiko's boyfriend very handsome."
"젊다. 요즘 시골에는 젊은 사람들이 많이 없어요.","to be young. These days country side young people a lot not."
"짧다. 머리를 짧게 자르고 싶어요.","to be short length. Hair short cut want to."
"크다. 제 형은 키가 커서 농구를 잘해요.","to be tall, to be big. My brother height tall so basketball well does."
"키. 안나 씨는 키가 몇이에요.","height. Anna as for, height which?"
"튼튼하다. 몸이 튼튼한 사람이 공부도 잘합니다.","to be strong, to be robust. Body strong person study also well does."
