"친구 / 주변 사람","friends / close, surrounding acquaintances"
"교포. 한국 교포들은 일본, 미국, 중국에서 가장 많이 살고 있어요.","korean residing abroad as for, japan, america, china most a lot living."
"그분. 미나 씨한테 처음 한국어를 가르쳐 주신 분이 누구세요? 그 분은 안 선생님이신데.","that person (honorific). Mina who was the first person that taught you korean."
"남자. 한국 남자들은 대부분 군대를 가야 해요. Man, male. Korean men majority military go have to.",""
"너. 나는 청소를 할게. 너는 식사 준비를 해.","you. I will clean. You prepare the meal."
"누구. 저기 의자에 앉아 있는 분이 누구예요?","who. Over there chair sitting person who is?"
"동창. 저는 초등학교 동창들하고 1년에 한 번씩 만나요.","alumnus, schoolmate. I elementary school alumnus 1 year once periodically meet."
"들. 요즘 세일 기간이라서 백화점에 사람들이 많요.","plural suffix. these days sale period is so department store people a lot"
"사람. 저는 미국 사람이 아니에요, 영국 사람이에요.","person. I american person not. England person am."
"선배. 폴 씨는 앤디 씨의 학교 선배예요.","paul as for andy's school senior is."
"숙녀. 신사, 숙녀 여러분, 이 비행기는 10분 후에 인천 국제공항에 도착할 예정입니다.","Lady. gentlemen and ladies, this plane 10 minutes in incheon international airport arriving plan is (expected to arrive)."
"신사. 영국을 신사의 나라라고 해요.","gentleman. England is called the gentleman's country."
"씨. 앤디 씨, 혹시 폴 씨 전화번호 알아요?","mr/mrs. Andy perhaps mr paul's phone number know?"
"아가씨. 좋은 아가씨 있으면 한 명 소개해 주세요.","young and unmarried lady. Good lady there is if 1 person introduce to me please."
"아저씨. 아저씨 콜라 두 병하고 사이다 한 병 주세요.","ahjussi can i have one cola and one cider pls."
"아주머니. 아주머니. 여기 반찬 좀 더 주시겠어요?","older woman who you don't know. Old woman can we have more side dishes pls."
"여자. 보통 여자가 남자보다 더 오래 산다고 해요.","female, woman. They say that in general woman live longer than men."
"위로하다. 시험에 떨어져서 슬퍼하는 친구를 위로해 주었어요.","to comfort. Test failed so sad friend to comforted."
"이분. 이분은 내 고등학교 때 선생님이세요.","this person(honorific). This person my high school during teacher is."
"저. 저는 앤디입니다. 미국에서 왔습니다.","i, me (humble). Im andy america from came."
"저분. 저분은 누구세요?","that person (honorific). Who is that person?"
"친구. 저는 한국 친구를 많이 사귀고 싶어요.","i korean friend many meet want to."
"친하다. 앤디 씨와 피터 씨는 지난 학기에 같은 반에서 공부했어요. 그래서 아주 친해요.","to be close, friendly. Andy and peter last semester same at studied. For that reason very close."
"혼자. 가족하고 같이 사세요? 아니요, 혼자 살아요.","alone. Family with together live? No alone live."
