"음식.","food."
"갈비. 갈비는 숯불에 구운 것이 제일 맛있어요.","ribs. Ribs charcoal fire on grilling most tasty."
"국. 술을 마신 다음 날 아침에는 콩나물국을 먹으면 좋아요.","soup. Alcohol drink next day morning as for bean sprout soup eat if good."
"김. 김 위에 밥과 여러 가지 채소를 올려놓고 말아서 먹는 음식을 김밥이라고 해요.","dried laver. Dried laver for rice and several kinds vegetables put on top and roll up eating food kimbap called."
"김치. 한국을 대표하는 음식은 김치예요.","fermented side dish. korea representing food kimchi is."
"냉면. 더운 여름에 냉면 한 그릇을 먹으면 정말 시원해요.","cold noodles. Hot summer in cold noodles 1 bowl eat if really refreshing."
"라면. 시간이 없을 때에는 라면을 끓여서 먹는 것이 제일 편해요.","ramyeon. Time not have when as for ramyeon boil and eating most comfy."
"매운탕. 낚시해서 잡은 물고기로 매운탕을 끓여서 먹었어요.","spice fish stew. fished and then caught fish with spicy fish stew boiled and ate."
"물냉면. 저는 비빔냉면보다 시원한 물냉면을 더 좋아해요.","cold noodles with water. I bibimbap compared to refreshing water cold noodles more like."
"반찬. 한국 식당에서 음식을 시키면 반찬은 공짜로 나와요.","side dish. Korea restaurant at food order if side dishes as for free as come out."
"밥. 밥을 할 때에는 물의 양이 중요해요.","rice. rice make when water's amount important."
"불고기. 불고기를 먹을 때 상추에 싸서 먹으면 더 맛있어요.","thinly sliced beef. Bulgogi eating when lettuce in wrap eat if more tasty."
"비빔밥. 비빔밥으로 제일 유명한 곳은 전주예요.","veggies, beef, egg, red pepper paste, rice. Bibimbap for most famous place jeonju is."
"빈대떡. 한국 사람들은 비 오는 날에 빈대떡을 자주 부쳐 먹어요.","green-bean (lentil) pancake. Korean people rain coming day green-bean pancake often fry and eat."
"삼계탕. 더운 여름에 삼계탕을 먹으면 힘이 나는 것 같아요.","chicken soup with chicken stuffed with rice, ginseng, garlic. Hot summer in chicken soup eat if strength come i think."
"생선. 저는 생선을 좋아해서 자주 먹어요.","fish(es). I fish like so often eat."
"설러탕. 점심 때 설러탕을 먹었어요.","ox bone soup. Lunch during ox bone soup ate."
"스파게티. 스파게티를 만들 때에는 면을 잘 삶아야 해요.","spaghetti. Spaghetti make when noodles well cook in water have to."
"음식. 어느 나라 음식을 제일 좋아해요?","food. Which country food most like?"
"자장면. 중국 음식 중에서 아이들이 제일 좋아하는 것은 역시 자장면이죠.","Chinese food among from kids most liked thing as for for sure jajangmyeon is."
"잡채. 한국에서는 생일 같은 특별한 날에 잡채를 자주 만들어요.","japchae mixed veggies and meat. Korea in as for birthday like special day japchae often make."
"진지. 할아버지, 진지 잡수세요.","meal (honorific). Grandfather meal eats."
"찌개. 저는 찌개나 국처럼 국물이 있는 음식을 좋아해요.","pot stew. I stew or soup like existing food like."
"피자. 거기 피자 가게죠? 여기 피자 한 판만 배달해 주세요.","pizza. This pizza shop right? Here pizza 1 pizza only deliver pls for me."
"한식. 저는 양식보다는 한식이 더 입에 맞아요.","korean (style) food. I western food compared to korea food more taste/pallet correct/suits."
"후식. 손남, 후식으로 뭘 드릴까요?.","dessert. Customer desert for what give shall i?"
