"하루 일과","daily work."
"간단하다. 이 일은 간단하니까 빨리 끝낼 수 있습니다.","to be simple. This work simple cuz quickly finish able to."
"갈아입다. 집에 오면 편한 옷으로 갈아입으세요.","to change one's clothes. House come if comfy clothes to/with change."
"꾸다. 어젯밤에 나쁜 꿈을 꿔서 기분이 안 좋아요.","to dream. Last night bad dream dreamt cuz mood not good."
"나가다. 약속 장소에 일찍 도착하려면 지금 나가야 돼요.","to go out. Appointment location early arrive want to if now leave have to."
"나오다. 아침에 출근할 때 보통 몇 시에 집에서 나와요","to come out. Morning leave when usually which time house come out?"
"눕다. 침대에 누워서 자고 싶어요.","to lie down. Bed lie down and then sleep want to."
"들르다. 집에 올때 시장에 들러서 운동화를 샀습니다.","to stop by. House come when market stop by and then exercise shoes/sneakers bought."
"들어가다. 집에 들어가서 전화할게요.","to enter, to go in. house enter and then call will."
"들어오다. 오늘 몇 시에 집에 들어오세요?","to enter, to come in. today which time house come in?"
"목욕. 집에 오면 뜨거운 물로 목욕부터 합니다.","bath. House come if hot water with bath from start/do."
"받다. 어제 친구에게서 선물을 받았어요.","to receive. Yesterday friend from present received."
"생활. 올가 씨, 한국 생활이 어때요?","life, living. Olga korean lifestyle how is?"
"샤워. 더운 여름에 차가운 물로 샤워하면 정말 시원해요.","shower. How summer cool water with shower do if really refreshing."
"세수. 이를 닦은 후에 따뜻한 물로 세수를 했어요.","face washing, washing up. Teeth brush after warm water with face wash did."
"쉬다. 오늘은 조용한 음악을 들으면서 쇠기 싶어요.","to rest. Today quiet music listen while rest want to."
"씻다. 음식을 먹기 전에 꼭 손을 씻으세요.","to wash. Food eating before be sure hand wash pls."
"오다. 오늘 학교에 몇 시에 왔어요.","to come. Today school which time came?"
"외출. 리에 씨는 지금 집에 없습니다. 외출했습니다.","being out, going out. Leah now house not. Went out."
"일어나다. 매일 아침 일찍 일어나서 운동을 하고 회사에 갑니다.","to wake up. Everyday morning early wake up and then exercise and company to go."
"자다. 오늘은 피곤하니까 일찍 잘 거예요.","to sleep. Today tired cuz early sleep will."
"잠. 잠을 잘 때 잠옷을 입어요.","sleep. Sleep sleep when sleep clothes wear."
"주무시다. 우리 할아버지는 항상 일찍 주무십니다.","to sleep (honorific). Our grandpa always early sleeps."
"피곤. 오랜만에 등산을 해서 너무 피곤합니다.","fatigue. In a long time hiking did and then very tired"
