"취미","hobbies"
"게임. 컴퓨터 게임하는 거 좋아하세요?","game. Computer game doing like?"
"공연. 준이치 씨는 한 달에 한 번 연극 공연을 보러 갑니다.","public performance. June lee jee as for 1 month in 1 time theatre public performance see in order to goes."
"관심. 안나 씨는 한국 문화에 관심이 많아요.","interest. Anna as for korean culture interest a lot."
"그리다. 피터 씨는 그림을 아주 잘 그립니다.","to draw. Peter as for drawing very well draws."
"그림. 그림을 잘 그리는 사람이 부러워요.","picture. Picture well drawing person envy."
"낚시. 제 아버지는 낚시를 좋아하십니다.","fishing. My father fishing likes."
"놀다. 어제 친구 집에 가서 놀았어요.","play. yesterday friend house to went and played."
"놀이. 한국 사람들은 추석에 무슨 놀이를 해요?","pastime play. Korean people chuseok on what pastime play."
"독서. 사람들은 보통 가을에 독서를 많이 합니다.","reading. People usually fall in reading a lot do."
"만화. 제 동생은 밤마다 만화를 봅니다.","comics, cartoon. My younger sibling night every manwha reads."
"비디오. 요즘에는 비디오보다 dvd로 영화를 보는 사람이 많아요.","these days video compared to dvd with movie watching people a lot."
"수집. 요즘에는 우표를 수집하는 사람이 거의 없는 것 같아요.","collection. These days postage stamp collecting people rarely exist it seems."
"재미. 저는 친구들과 놀 때 가장 재미있습니다.","enjoyment. I friend with playing during most enjoyment is."
"즐기다. 안나 씨는 주말에 영화 보는 것을 즐깁니다.","to enjoy. Anna as for weekend movie watching enjoys."
"춤. 우리 반에서 누가 가장 춤을 잘 춰요?","dance. Our class from who most dance well dances?"
"취미. 올가 씨는 취미가 뭐예요?","hobby. Olga as for hobby what is?"
"취미. 제 취미는 여행에요.","hobby. My hobby as for traveling is."
