"일기예보","weather forecast"
"개다. 오늘은 날이 개고 하늘도 맑겠습니다.","to clear up. Today weather conditions/day clear up and sky also clear will."
"구름. 구름이 많아서 하늘이 흐립니다.","a cloud. Cloud a lot so sky cloudy is."
"그치다. 비가 그치니까 공기가 깨끗해졌습니다.","stop. Rain stop cuz air clean became."
"기후. 기후가 따뜻한 나라로 여행을 갑시다.","climate. Climate warm country to trip go let's."
"나쁘다. 날씨가 나쁘니까 등산은 나중에 갑시다.","bad. Weather bad cuz hiking as for later go let's."
"나쁘다. 술과 담배는 건강에 나쁩니다.","to be bad. Alcohol and cigarettes as for health for bad."
"날씨. 날씨가 좋으면 기분도 좋습니다.","the weather. Weather good if mood also good."
"눈. 빨리 눈이 오면 좋겠어요.","snow. Quickly snow comes if good will."
"덥다. 한국에서는 7월 말과 8월 초에 가장 덥습니다.","to be hot (weather). Korean in as for july end and august beginning in most hot."
"따뜻하다. 따뜻한 봄이 되면 여행을 가고 싶어요.","to be warm. Warm spring becomes if trip go want to."
"떨다. 올가 씨가 추워서 몸을 떨고 있습니다.","to shiver. Olga as for cold cuz body shivering."
"맑다. 오늘은 날씨가 맑아서 파란 하늘을 볼 수 있습니다.","to be clear. Today as for weather clear cuz bright sky see able to."
"미끄럽다. 눈이 와서 길이 미끄러우니까 조심하세요.","to be slippery. Snow come and then road slippery cuz be careful."
"바람. 오늘 오후에 바람이 많이 불겠습니다.","the wind. Today afternoon in wind a lot blow will."
"번개. 번개가 치고 비가 많이 오는 날은 위험하니까 운전하지 마세요.","lightning. Lightning strike and rain a lot coming day dangerous cuz drive do not."
"불다. 바람이 많이 불어서 앞을 볼 수가 없어요.","to blow. Wind a lot blow cuz forward look unable to."
"비. 오늘은 비가 오니까 우산을 가지고 가세요.","rain. Today as for rain come cuz umbrella bring and go pls."
"서늘하다. 저는 서늘한 가을 날씨가 좋아요.","to be cool and refreshing (little bit cold). I as for refreshing fall weather good."
"선선하다. 아침에는 선선했는데 지금은 좀 덥네요.","to be cool and refreshing. Morning for as for cool was but now as for little hot surprisingly."
"시원하다. 기온은 조금 높지만 바람이 불어서 시원합니다.","to be cool. Air temperature little high but wind blow so cool."
"쌀쌀하다. 날씨가 쌀쌀한데 옷을 얇게 입어서 추워요.","to be chilly. Weather chilly but clothes thinly wore so cold."
"쌓이다. 어젯밤에 내린 눈이 많이 쌓였습니다.","to be piled up. Last night fallen snow a lot piled up."
"안개. 안개가 많이 끼어서 비행기가 출발할 수 없습니다.","fog, mist. Fog a lot covered so plane depart unable to."
"일기예보. 저는 아침마다 라디오에서 일기예보를 듣습니다.","I morning every radio from weather forecast listen."
"장마. 한국은 6월에서 7월이 장마철입니다.","rainy season. Korea as for june from july rainy season is."
"젖다. 우산이 없어서 비에 옷이 다 젖었습니다.","to get wet, be soaked. Umbrella not have so rain from clothes soaked."
"차다. 바람이 차면 감기에 걸리기 쉽습니다.","to be cold. Wind cold if cold catching easy."
"천둥. 천둥과 번개가 칠 때는 정말 무섭습니다.","thunder and lightning strike when as for very scary."
"춥다. 날씨가 추우니까 따뜻한 커피가 생각납니다.","to be cold (weather). Weather cold cuz warm coffee remember."
"태풍. 태풍 때문에 배가 움직이지 못합니다.","typhoon. Typhoon because plane move couldn't."
"흐리다. 오전에는 맑겠으나 오후부터 차차 흐려지겠습니다.","to be cloudy. Morning in as for clear will but afternoon from gradually cloudy will be."
