"패션","fashion"
"미용.","beauty care"
"마사지. 어제 늦게까지 일해서 많이 피곤했어요. 그래서 마사지를 받았어요.","massage. Yesterday late til worked so very tired. Therefore, massage received."
"미용. 예쁘게 보이고 싶어하는 사람들은 미용에 관심이 많아요.","beauty care. Prettily look want to people beauty care interest a lot."
"바르다. 세수한 다음에 얼굴에 화장품을 발라요.","to apply. Next time that you wash, face make up apply."
"샴푸. 저는 샴푸 대신에 비누로 머리를 감아요.","shampoo. I shampoo instead of soap with hair wash."
"어울리다. 진우 씨와 수민 씨가 잘 어울려요.","to be well-matched, to go well with. Jino and soomin look good together."
"어울리다. 파란색 티셔츠가 청바지에 잘 어울려요.","to be well matched, to go well with. blue t-shirt jeans with well-matched."
"어울리다. 이 옷 색깔은 앤디 씨에게 안 어울려요.","to be well matched, to go well with. These clothes color as for, andy to not well-matched."
"염색하다. 미용실에 가서 머리를 노란색으로 염색했어요.","to dye. Beauty salon went and hair yellow died."
"유행. 올해는 짧은 치마가 유행이에요.","fashion. This year as for, short skirts fashion is."
"이발. 이발한 지가 오래돼서 머리가 많이 길었어요.","haircut (men). Haircut since long time been so hair a lot grew."
"이상하다. 양복을 입고 운동화를 신으니까 정말 이상해요.","to be strange, to be weird. Suit wear and sneakers wear cuz very weird."
"자르다. 머리가 너무 길어서 미용실에 가서 잘랐어요.","To cut. Hair very long so salon go and cut."
"파마. 미용실에 가서 스트레이트 파마를 했어요.","perm. Salon go and straight perm did."
"향수. 중요한 모임에 갈 때는 향수를 조금 뿌려요.","perfume. Important gathering go during perfume little spray."
"화장. 중요한 사진을 찍을 때는 꼭 화장을 해요.","make up. Important picture take during for sure make up do."
