"소품","accessories"
"가방. 여행가려고 가방을 하나 샀어요.","travel in order to bag 1 bought."
"귀고리. 이 사진에서 귀로기를 한 분이 누구세요? 제 언니예요.","earrings. This picture in earrings wearing person who is."
"넥타이. 양복을 입을 때에는 보통 넥타이를 매요.","necktie. Suit wear during usually necktie wear."
"모자. 여름에 외출할 때에는 모자를 자주 써요.","summer during outside going during hat often wear."
"목걸이. 생일 선물로 받은 목걸이가 정말 마음에 들어요.","necklace. Birthday present for received necklace very heart raise."
"목도리. 밖이 너무 추워서 집에서 나갈 때 목도리를 했어요.","scarf. Outside very cold so house leave during scarf wore."
"반지. 결혼할 때 신랑, 신부는 서로 반지를 주고 받아요.","ring. Marry during groom, bride each other ring give and receive."
"샌들. 여름에 바닷가에서 놀 때에는 샌들을 신는 것이 편해요.","sandals. Summer beach at playing during sandal wearing comfortable."
"선글라스. 여름에는 햇볕이 너무 강하니까 꼭 선글라스를 쓰세요.","sunglasses. Summer sunlight very strong cuz for sure sunglasses wear."
"손수건. 영화를 보다가 눈물이 나서 손수건으로 닦았어요.","handkerchief. Movie watch while tear came so handkerchief with wiped."
"스카프. 친구 결혼식에 갈 때 빨간색 원피스를 입고 노란색 스카프를 했어요.","scarf. Friend wedding go during red dress wear and yellow scarf wore."
"스타킹. 여자들은 치마를 입을 때 보통 스타킹을 신어요.","stockings. Women as for, skirt wear during usually stockings wear."
"슬리퍼. 집 안에서 신는 슬리퍼를 신고 외출하면 안 돼요.","slippers. House inside wearing slipper, wear and outside go if not allowed."
"시계. 친구가 약속 시간에 안 와서 자꾸 시계를 봤어요.","watch, clock. Friend appointment time not come so repeatedly watch looked."
"신발. 한국에서는 집 안에 들어갈 때 신발을 벗어야 해요.","shoes, footwear. Korea in as for, house inside enter during shoes take off have to."
"안경. 요즘 눈이 많이 나빠져서 안경을 새로 바꿨어요.","glasses. These days eyes a lot worsened so glasses new with changed."
"양말. 까만색 양복에 흰색 양말은 어울리지 않아요.","socks. Black suit with white socks don't go well."
"장갑. 추우니까 밖에 나갈 때 장갑을 끼세요.","gloves. Cold cuz outside leave during gloves wear pls."
"지갑. 여행 갔을 때 지갑을 잃어버려서 고생했어요.","wallet. Trip went during wallted forgot cuz hardship experienced."
"팔찌. 요즘에는 남자들도 팔찌를 많이 차요.","bracelet. These days as for guys also bracelet many wear."
"핸드백. 미나 씨가 핸드백에서 명함을 꺼내서 폴 씨에게 주었어요.","handbag. Mina handbag from business card took out and paul to gave."
